Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28 00:00:00+05:30,681.7682540250714,690.3226604024204,678.9333190646712,680.0275268554688,11533,0.0,0.0
2020-12-29 00:00:00+05:30,681.3703526803351,685.3491576594904,665.4551327637142,669.2349853515625,17258,0.0,0.0
2020-12-30 00:00:00+05:30,666.4498384747515,686.2444176634016,651.0319690772012,674.20849609375,47056,0.0,0.0
2020-12-31 00:00:00+05:30,681.2709011732699,686.3438531947942,673.3132912811564,684.2550048828125,35603,0.0,0.0
2021-01-01 00:00:00+05:30,691.3173818287495,691.3173818287495,669.4339539147459,671.0254516601562,27956,0.0,0.0
2021-01-04 00:00:00+05:30,675.9989348806416,679.380943363636,668.4392297809127,675.2031860351562,15688,0.0,0.0
2021-01-05 00:00:00+05:30,671.473079373474,675.8497892409737,668.5884821209493,671.0254516601562,17516,0.0,0.0
2021-01-06 00:00:00+05:30,676.44650310873,680.1269094962496,668.4391710149612,673.1640014648438,24097,0.0,0.0
2021-01-07 00:00:00+05:30,673.5121269468577,680.2761433620254,668.6878506356699,671.4232788085938,36165,0.0,0.0
2021-01-08 00:00:00+05:30,678.3862334228977,697.2855566414243,671.4233248687037,692.1130981445312,28883,0.0,0.0
2021-01-11 00:00:00+05:30,697.3848894840953,701.0652955516234,685.349030932386,690.9691162109375,43157,0.0,0.0
2021-01-12 00:00:00+05:30,685.3491933348486,692.6602235799184,678.3862842588776,679.82861328125,33209,0.0,0.0
2021-01-13 00:00:00+05:30,686.3439086526674,689.3280126033312,663.4657783642452,670.08056640625,18062,0.0,0.0
2021-01-14 00:00:00+05:30,670.080464438645,672.5672173524503,645.5610564238293,652.3250122070312,51585,0.0,0.0
2021-01-15 00:00:00+05:30,651.4795759466436,655.5081037438434,636.6087805706522,640.5875854492188,46625,0.0,0.0
2021-01-18 00:00:00+05:30,644.4669423848869,684.3544368774968,627.3083464021299,660.431884765625,55986,0.0,0.0
2021-01-19 00:00:00+05:30,662.7196408943647,685.9458884518951,652.7726293987645,673.313232421875,55742,0.0,0.0
2021-01-20 00:00:00+05:30,676.3470547547993,691.3172948241101,654.4139066800658,670.67724609375,36946,0.0,0.0
2021-01-21 00:00:00+05:30,686.0455078556968,686.0455078556968,658.4922693377347,663.06787109375,17386,0.0,0.0
2021-01-22 00:00:00+05:30,661.4265597866091,676.297354525065,637.3547791609295,657.596923828125,49375,0.0,0.0
2021-01-25 00:00:00+05:30,659.4868846782368,673.2634717853855,649.1419680848618,666.9471435546875,55775,0.0,0.0
2021-01-27 00:00:00+05:30,664.4604513583054,668.3398106135095,649.9875599568475,655.7070922851562,12225,0.0,0.0
2021-01-28 00:00:00+05:30,653.5186553829543,663.7640650829875,643.5716438854969,646.7546997070312,14912,0.0,0.0
2021-01-29 00:00:00+05:30,657.4975288350208,657.4975288350208,584.8346143791881,616.1179809570312,39946,0.0,0.0
2021-02-01 00:00:00+05:30,617.8586829721667,647.1525851366456,617.7094535054629,631.2373657226562,33873,0.0,0.0
2021-02-02 00:00:00+05:30,641.5325404579274,680.7735142904062,638.3992074451213,666.9471435546875,18563,0.0,0.0
2021-02-03 00:00:00+05:30,670.4286543069426,681.8677188833964,659.9345680769801,675.4021606445312,37248,0.0,0.0
2021-02-04 00:00:00+05:30,677.1926003084398,677.1926003084398,658.5916747512407,665.305908203125,13870,0.0,0.0
2021-02-05 00:00:00+05:30,674.3080419860504,688.8306568198631,664.510197660552,683.0614013671875,47877,0.0,0.0
