,Date,Open,Close,Return,Next Return,bin
0,2020-12-28 00:00:00+05:30,7226.979125638216,7236.94384765625,0.0013788225819946,0.0193130946395421,"(0.0,0.05)"
1,2020-12-29 00:00:00+05:30,7261.855827022528,7211.451171875,-0.0069410156781085,-0.0019756335746952,"(-0.05,0.0)"
2,2020-12-30 00:00:00+05:30,7256.003235898197,7363.537109375,0.0148199869791667,-0.0050071462854391,"(0.0,0.05)"
3,2020-12-31 00:00:00+05:30,7381.773230619613,7400.83251953125,0.0025819390973132,-0.0027233782129742,"(0.0,0.05)"
4,2021-01-01 00:00:00+05:30,7404.025306434316,7441.36962890625,0.0050437864440415,-0.0158036570168711,"(0.0,0.05)"
5,2021-01-04 00:00:00+05:30,7478.519950691806,7449.01220703125,-0.0039456662354462,-0.0257817144483691,"(-0.05,0.0)"
6,2021-01-05 00:00:00+05:30,7439.822025235449,7402.380859375,-0.0050325351511703,0.0062984250992063,"(-0.05,0.0)"
7,2021-01-06 00:00:00+05:30,7405.960705108987,7385.01513671875,-0.0028282040945461,0.0229333925486808,"(-0.05,0.0)"
8,2021-01-07 00:00:00+05:30,7411.910341033402,7320.58154296875,-0.0123218973061563,-0.0154878048780486,"(-0.05,0.0)"
9,2021-01-08 00:00:00+05:30,7352.749382852767,7755.16748046875,0.0547302888569079,-0.0006086835209626,"(0.05,0.1)"
10,2021-01-11 00:00:00+05:30,7817.13388702369,7968.10693359375,0.0193130946395421,-0.0144505931712962,"(0.0,0.05)"
11,2021-01-12 00:00:00+05:30,7933.229795765286,7917.556640625,-0.0019756335746952,-0.022850955939441,"(-0.05,0.0)"
12,2021-01-13 00:00:00+05:30,7912.284469698036,7872.66650390625,-0.0050071462854391,-0.0348282442748091,"(-0.05,0.0)"
13,2021-01-14 00:00:00+05:30,7904.20582944678,7882.6796875,-0.0027233782129742,-0.069941910282258,"(-0.05,0.0)"
14,2021-01-15 00:00:00+05:30,7884.856640282727,7760.2470703125,-0.0158036570168711,0.0206827855603448,"(-0.05,0.0)"
15,2021-01-18 00:00:00+05:30,7760.246783014813,7560.17431640625,-0.0257817144483691,0.0242975779577535,"(-0.05,0.0)"
16,2021-01-19 00:00:00+05:30,7618.803090172199,7666.78955078125,0.0062984250992063,-0.0198230455125306,"(0.0,0.05)"
17,2021-01-20 00:00:00+05:30,7701.037520998814,7877.6484375,0.0229333925486808,0.0051772698906573,"(0.0,0.05)"
18,2021-01-21 00:00:00+05:30,7933.229144892697,7810.36083984375,-0.0154878048780486,-0.0304657179818887,"(-0.05,0.0)"
19,2021-01-22 00:00:00+05:30,7788.110123197683,7783.36962890625,-0.0006086835209626,0.0018783327132936,"(-0.05,0.0)"
20,2021-01-25 00:00:00+05:30,7836.483039231193,7723.2412109375,-0.0144505931712962,0.0067517938611688,"(-0.05,0.0)"
21,2021-01-27 00:00:00+05:30,7788.109297086781,7610.1435546875,-0.022850955939441,-2.6258566697296543e-05,"(-0.05,0.0)"
